Match_ID,Match_City,Match_City_ID,Match_Date,Season,Season_ID,MatchNumber,Team1,Team1_ID,Team2,Team2_ID,Stadium_Name,Stadium_ID,TossWinner,Toss_Winner_ID,TossDecision,SuperOver,WinningTeam,Winner_Team_ID,WonBy,Margin,DL_used,MOM,MOM_ID,Umpire1,Ump1_ID,Umpire2,Ump2_ID
1312200,Ahmedabad,10002,5/29/2022,2022,30015,Final,Rajasthan Royals,50001,Gujarat Titans,50007,Narendra Modi Stadium,20018,Rajasthan Royals,50001,bat,N,Gujarat Titans,50007,Wickets,7,No,HH Pandya,90211,CB Gaffaney,60001,Nitin Menon,60005
1312199,Ahmedabad,10002,5/27/2022,2022,30015,Qualifier 2,Royal Challengers Bangalore,50010,Rajasthan Royals,50001,Narendra Modi Stadium,20018,Rajasthan Royals,50001,field,N,Rajasthan Royals,50001,Wickets,7,No,JC Buttler,90237,CB Gaffaney,60001,Nitin Menon,60005
1312198,Kolkata,10022,5/25/2022,2022,30015,Eliminator,Royal Challengers Bangalore,50010,Lucknow Super Giants,50011,Eden Gardens,20008,Lucknow Super Giants,50011,field,N,Royal Challengers Bangalore,50010,Runs,14,No,RM Patidar,90477,J Madanagopal,60002,MA Gough,60014
1312197,Kolkata,10022,5/24/2022,2022,30015,Qualifier 1,Rajasthan Royals,50001,Gujarat Titans,50007,Eden Gardens,20008,Gujarat Titans,50007,field,N,Gujarat Titans,50007,Wickets,7,No,DA Miller,90141,BNJ Oxenford,60003,VK Sharma,60026
1304116,Mumbai,10023,5/22/2022,2022,30015,70,Sunrisers Hyderabad,50006,Punjab Kings,50009,Wankhede Stadium,20034,Sunrisers Hyderabad,50006,bat,N,Punjab Kings,50009,Wickets,5,No,Harpreet Brar,90205,AK Chaudhary,60004,NA Patwardhan,60011
1304115,Mumbai,10023,5/21/2022,2022,30015,69,Delhi Capitals,50008,Mumbai Indians,50005,Wankhede Stadium,20034,Mumbai Indians,50005,field,N,Mumbai Indians,50005,Wickets,5,No,JJ Bumrah,90245,Nitin Menon,60005,Tapan Sharma,60017
1304114,Mumbai,10023,5/20/2022,2022,30015,68,Chennai Super Kings,50003,Rajasthan Royals,50001,Brabourne Stadium,20002,Chennai Super Kings,50003,bat,N,Rajasthan Royals,50001,Wickets,5,No,R Ashwin,90440,CB Gaffaney,60001,NA Patwardhan,60011
1304113,Mumbai,10023,5/19/2022,2022,30015,67,Gujarat Titans,50007,Royal Challengers Bangalore,50010,Wankhede Stadium,20034,Gujarat Titans,50007,bat,N,Royal Challengers Bangalore,50010,Wickets,8,No,V Kohli,90617,KN Ananthapadmanabhan,60006,GR Sadashiv Iyer,60008
1304112,Mumbai,10023,5/18/2022,2022,30015,66,Lucknow Super Giants,50011,Kolkata Knight Riders,50004,Dr DY Patil Sports Academy,20005,Lucknow Super Giants,50011,bat,N,Lucknow Super Giants,50011,Runs,2,No,Q de Kock,90439,R Pandit,60007,YC Barde,60024
1304111,Mumbai,10023,5/17/2022,2022,30015,65,Sunrisers Hyderabad,50006,Mumbai Indians,50005,Wankhede Stadium,20034,Mumbai Indians,50005,field,N,Sunrisers Hyderabad,50006,Runs,3,No,RA Tripathi,90461,CB Gaffaney,60001,N Pandit,60059
