PID,Name,Full Name,Alias,DOB,Age,Nationality_ID,Debut_year,Gender,Last_Known_team,Last_Known_Team_ID,Last_Sold_Price,Retire_status
90001,A Ashish Reddy,Ashish Reddy,,1991-02-24,32,80006,2013,Male,Sunrisers Hyderabad,50006,2000000,Yes
90002,A Badoni,Ayush Badoni,,1999-12-03,23,80006,2022,Male,Lucknow Super Giants,50011,2000000,No
90003,A Chandila,Ajit Chandila,,1983-12-05,39,80006,2011,Male,Rajasthan Royals,50001,3000000,Yes
90004,A Chopra,Aakash Chopra,,1977-09-19,45,80006,2008,Male,Rajasthan Royals,50001,3000000,Yes
90005,A Choudhary,Aniket Choudhary,,1990-01-28,33,80006,2013,Male,Royal Challengers Bangalore,50010,3000000,Yes
90006,A Dananjaya,Akila Dananjaya,,1993-10-04,29,80017,2013,Male,Mumbai Indians,50005,5000000,Yes
90007,A Flintoff,Andrew Flintoff,,1977-12-06,45,80004,2009,Male,Chennai Super Kings,50003,76136000,Yes
90008,A Kumble,Anil Kumble,,1970-10-17,52,80006,2008,Male,Royal Challengers Bangalore,50010,20000000,Yes
90009,A Manohar,Abhinav Manohar,,1994-09-16,28,80006,2022,Male,Gujarat Titans,50007,26000000,Yes
90010,A Mishra,Amit Mishra,,1981-06-11,41,80006,2008,Male,Delhi Capitals,50008,5000000,Yes
90011,A Mithun,Abhimanyu Mithun,,1989-10-25,33,80006,2009,Male,Royal Challengers Bangalore,50010,3000000,Yes
90012,A Mukund,Abhinav Mukund,,1990-01-06,33,80006,2008,Male,Royal Challengers Bangalore,50010,2000000,Yes
90013,A Nehra,Ashish Nehra,,1979-04-29,43,80006,2008,Male,Sunrisers Hyderabad,50006,55000000,Yes
90014,A Nel,André Nel,,1977-07-15,45,80016,2008,Male,Mumbai Indians,50005,2000000,Yes
90015,A Nortje,Anrich Nortje,,1993-11-16,29,80016,2019,Male,Delhi Capitals,50008,65000000,No
90016,A Singh,Anureet Singh,,1988-03-02,35,80006,2009,Male,Rajasthan Royals,50001,3000000,Yes
90017,A Symonds,Andrew Symonds,,1975-06-09,47,80002,2008,Male,Mumbai Indians,50005,39100000,Yes
90018,A Tomar,Avijeet Tomar,,1995-03-14,28,80006,2022,Male,Kolkata Knight Riders,50004,3000000,No
90019,A Uniyal,Amit Uniyal,,1981-11-21,41,80006,2010,Male,Rajasthan Royals,50001,800000,Yes
90020,A Zampa,Adam Zampa,,1992-03-31,31,80002,2016,Male,Royal Challengers Bangalore,50010,15000000,Yes
90021,AA Bilakhia,Azhar Bilakhia,,1986-05-31,36,80006,2009,Male,Deccan Chargers,50002,1000000,Yes
90022,AA Chavan,Ankeet Chavan,,1985-10-28,37,80006,2008,Male,Rajasthan Royals,50001,2000000,Yes
90023,AA Jhunjhunwala,Abhishek Jhunjhunwala,,1982-12-01,40,80006,2010,Male,Delhi Capitals,50008,3000000,Yes
90024,AA Kazi,Abrar Kazi,,1989-09-29,33,80006,2011,Male,Royal Challengers Bangalore,50010,1000000,Yes
90025,AA Noffke,Ashley Noffke,,1977-04-30,45,80002,2008,Male,Royal Challengers Bangalore,50010,1204800,Yes
90026,AB Agarkar,Ajit Agarkar,,1977-12-04,45,80006,2008,Male,Delhi Capitals,50008,9660000,Yes
90027,AB Barath,Adrian Barath,,1990-04-14,33,80020,2010,Male,Punjab Kings,50009,925800,Yes
90028,AB de Villiers,AB de Villiers,,1984-02-17,39,80016,2008,Male,Royal Challengers Bangalore,50010,110000000,Yes
90029,AB Dinda,Ashok Dinda,,1984-03-25,39,80006,2008,Male,Rising Pune Supergiants,50015,5000000,Yes
90030,AB McDonald,Andrew McDonald,,1981-06-05,41,80002,2009,Male,Royal Challengers Bangalore,50010,4261600,Yes
90031,Abdul Samad,Abdul Samad,,2001-10-28,21,80006,2020,Male,Sunrisers Hyderabad,50006,40000000,No
90032,Abdur Razzak,Abdur Razzak,,1982-06-15,40,80003,2008,Male,Royal Challengers Bangalore,50010,2008000,Yes
90033,Abhishek Sharma,Abhishek Sharma,,2000-09-04,22,80006,2018,Male,Sunrisers Hyderabad,50006,65000000,No
90034,AC Blizzard,Aiden Blizzard,,1984-06-27,38,80002,2011,Male,Mumbai Indians,50005,3000000,Yes
90035,AC Gilchrist,Adam Gilchrist,,1971-11-14,51,80002,2008,Male,Punjab Kings,50009,47943000,Yes
90036,AC Thomas,Alfonso Thomas,,1977-02-09,46,80016,2011,Male,Pune Warriors India,50014,5027000,Yes
90037,AC Voges,Adam Voges,,1979-10-04,43,80002,2010,Male,Rajasthan Royals,50001,2314500,Yes
90038,AD Hales,Alex Hales,,1989-01-03,34,80004,2015,Male,Kolkata Knight Riders,50004,15000000,No
90039,AD Mascarenhas,Dimitri Mascarenhas,,1977-10-30,45,80004,2008,Male,Punjab Kings,50009,5327000,Yes
90040,AD Mathews,Angelo Mathews,,1987-06-02,35,80017,2009,Male,Delhi Capitals,50008,20000000,Yes
90041,AD Nath,Akshdeep Nath,,1993-05-10,29,80006,2016,Male,Delhi Capitals,50008,36000000,Yes
90042,AD Russell,Andre Russell,,1988-04-29,34,80020,2012,Male,Kolkata Knight Riders,50004,120000000,No
90043,AF Milne,Adam Milne,,1992-04-13,31,80011,2015,Male,Chennai Super Kings,50003,19000000,No
90044,AG Murtaza,Ali Murtaza,,1990-01-01,33,80006,2010,Male,Sunrisers Hyderabad,50006,2000000,Yes
90045,AG Paunikar,Amit Paunikar,,1988-04-18,34,80006,2010,Male,Rajasthan Royals,50001,2000000,Yes
90046,AJ Finch,Aaron Finch,,1986-11-17,36,80002,2010,Male,Royal Challengers Bangalore,50010,15000000,Yes
90047,AJ Turner,Ashton Turner,,1993-01-25,30,80002,2019,Male,Rajasthan Royals,50001,5000000,Yes
90048,AJ Tye,Andrew Tye,,1986-12-12,36,80002,2015,Male,Lucknow Super Giants,50011,10000000,No
90049,AK Markram,Aiden Markram,,1994-10-04,28,80016,2021,Male,Sunrisers Hyderabad,50006,26000000,Yes
90050,Akash Deep,Akash Deep,,1996-12-15,26,80006,2021,Male,Royal Challengers Bangalore,50010,2000000,No
90051,Akash Singh,Akash Singh,,2002-04-26,20,80006,2020,Male,Rajasthan Royals,50001,2000000,Yes
90052,AL Menaria,Ashok Menaria,,1990-10-29,32,80006,2011,Male,Rajasthan Royals,50001,2000000,Yes
90053,AM Nayar,Abhishek Nayar,,1983-10-08,39,80006,2008,Male,Rajasthan Royals,50001,10000000,Yes
90054,AM Rahane,Ajinkya Rahane,,1988-06-05,34,80006,2008,Male,Kolkata Knight Riders,50004,5000000,No
90055,AM Salvi,Aavishkar Salvi,,1981-10-20,41,80006,2009,Male,Delhi Capitals,50008,3000000,Yes
90056,Aman Hakim Khan,Aman Hakim Khan,,1996-11-23,26,80006,2023,Male,Kolkata Knight Riders,50004,55000000,No
90057,AN Ahmed,Abu Nechim Ahmed,,1988-11-05,34,80006,2009,Male,Royal Challengers Bangalore,50010,2000000,Yes
90058,AN Ghosh,Arindam Ghosh,,1986-10-19,36,80006,2009,Male,Kolkata Knight Riders,50004,800000,Yes
90059,Anand Rajan,Anand Rajan,,1987-04-17,35,80006,2011,Male,Sunrisers Hyderabad,50006,1000000,Yes
90060,Anirudh Singh,Anirudh Singh,,1980-08-02,42,80006,2010,Male,Delhi Capitals,50008,600000,Yes
90061,Ankit Sharma,Ankit Sharma,,1991-04-20,31,80006,2011,Male,Royal Challengers Bangalore,50010,2000000,Yes
90062,Ankit Soni,Ankit Soni,,1993-08-02,29,80006,2017,Male,Gujarat Lions,50012,1000000,Yes
90063,Anmolpreet Singh,Anmolpreet Singh,,1998-03-28,25,80006,2019,Male,Mumbai Indians,50005,2000000,No
90064,Anuj Rawat,Anuj Rawat,,1999-10-17,23,80006,2020,Male,Royal Challengers Bangalore,50010,34000000,No
90065,Anureet Singh,Anureet Singh,,1988-03-02,35,80006,2009,Male,Rajasthan Royals,50001,3000000,Yes
90066,AP Dole,Aditya Dole,,1987-10-09,35,80006,2010,Male,Rajasthan Royals,50001,2000000,Yes
90067,AP Majumdar,Anustup Majumdar,,1984-04-30,38,80006,2012,Male,Pune Warriors India,50014,1000000,Yes
90068,AP Tare,Aditya Tare,,1987-11-07,35,80006,2010,Male,Mumbai Indians,50005,2000000,Yes
90069,AR Bawne,Ankit Bawne,,1992-12-17,30,80006,2017,Male,Delhi Capitals,50008,1000000,Yes
90070,AR Patel,Axar Patel,,1994-01-20,29,80006,2013,Male,Delhi Capitals,50008,90000000,No
90071,Arshdeep Singh,Arshdeep Singh,,1999-02-05,24,80006,2019,Male,Punjab Kings,50009,40000000,No
90072,AS Joseph,Alzarri Joseph,,1996-11-20,26,80020,2019,Male,Gujarat Titans,50007,24000000,No
90073,AS Rajpoot,Ankit Rajpoot,,1993-12-04,29,80006,2013,Male,Lucknow Super Giants,50011,5000000,No
90074,AS Raut,Abhishek Raut,,1987-03-03,36,80006,2009,Male,Rajasthan Royals,50001,3000000,Yes
90075,AS Roy,Anukul Roy,,1998-11-30,24,80006,2018,Male,Kolkata Knight Riders,50004,2000000,No
90076,AS Yadav,Arjun Yadav,,1981-12-23,41,80006,2008,Male,Deccan Chargers,50002,3000000,Yes
90077,AT Carey,Alex Carey,,1991-08-27,31,80002,2020,Male,Delhi Capitals,50008,24000000,Yes
90078,AT Rayudu,Ambati Rayudu,,1985-09-23,37,80006,2010,Male,Chennai Super Kings,50003,62500000,No
90079,AU Rashid,Adil Rashid,,1990-06-29,32,80004,2008,Male,Punjab Kings,50009,5000000,Yes
90080,AUK Pathan,Asad Pathan,,1984-06-17,38,80006,2011,Male,Royal Challengers Bangalore,50010,1000000,Yes
