PID,Player_Name,Player_Role,Player_Role_ID,Batting_stance,Batting_Stance_ID,Batting_Order,Batting_Order_ID,Bowling_Hand,Bowling_Hand_ID,Bowling_Variation,Bowling_Variation_ID
90001,Ashish Reddy,Bowler,102,Right,201,Tailender,305,Right,402,Medium,503
90002,Ayush Badoni,Bowler,102,Right,201,Tailender,305,Right,402,Off Break,508
90003,Ajit Chandila,All Rounder,103,Right,201,Finisher,304,Right,402,Off Break,508
90004,Aakash Chopra,Batsmen,101,Right,201,Top Order,302,Right,402,Slow,507
90005,Aniket Choudhary,Bowler,102,Right,201,Tailender,305,Left,401,Medium,503
90006,Akila Dananjaya,All Rounder,103,Left,202,Finisher,304,Right,402,Off Break,508
90007,Andrew Flintoff,All Rounder,103,Right,201,Finisher,304,Right,402,Fast,501
90008,Anil Kumble,Bowler,102,Right,201,Tailender,305,Right,402,Leg Break,509
90009,Abhinav Manohar,Bowler,102,Right,201,Tailender,305,Right,402,Leg Break,509
90010,Amit Mishra,Bowler,102,Right,201,Tailender,305,Right,402,Leg Break,509
90011,Abhimanyu Mithun,Bowler,102,Right,201,Tailender,305,Right,402,Medium,503
90012,Abhinav Mukund,Batsmen,101,Left,202,Top Order,302,Right,402,Leg Break,509
90013,Ashish Nehra,Bowler,102,Right,201,Tailender,305,Left,401,Medium,503
90014,André Nel,Bowler,102,Right,201,Tailender,305,Right,402,Medium,503
90015,Anrich Nortje,Bowler,102,Right,201,Tailender,305,Right,402,Fast,501
90016,Anureet Singh,Bowler,102,Right,201,Tailender,305,Right,402,Medium,503
90017,Andrew Symonds,All Rounder,103,Right,201,Middle Order,303,Right,402,Medium,503
90018,Avijeet Tomar,Batsmen,101,Right,201,Opener,301,Right,402,Off Break,508
90019,Amit Uniyal,All Rounder,103,Left,202,Finisher,304,Left,401,Medium,503
90020,Adam Zampa,Bowler,102,Right,201,Tailender,305,Right,402,Leg Break,509
90021,Azhar Bilakhia,Batsmen,101,Right,201,Middle Order,303,Right,402,Medium,503
90022,Ankeet Chavan,Batsmen,101,Left,202,Middle Order,303,Right,402,Slow Orthodox,511
90023,Abhishek Jhunjhunwala,Batsmen,101,Right,201,Top Order,302,Right,402,Off Break,508
90024,Abrar Kazi,Bowler,102,Left,202,Tailender,305,Left,401,Slow Orthodox,511
90025,Ashley Noffke,All Rounder,103,Right,201,Finisher,304,Right,402,Medium,503
90026,Ajit Agarkar,Bowler,102,Right,201,Tailender,305,Right,402,Medium,503
90027,Adrian Barath,Batsmen,101,Right,201,Opener,301,Right,402,Off Break,508
90028,AB de Villiers,WK-Batsmen,104,Right,201,Middle Order,303,Right,402,Medium,503
90029,Ashok Dinda,Bowler,102,Right,201,Tailender,305,Right,402,Medium,503
90030,Andrew McDonald,All Rounder,103,Right,201,Finisher,304,Right,402,Medium,503
90031,Abdul Samad,Batsmen,101,Right,201,Middle Order,303,Right,402,Leg Break,509
90032,Abdur Razzak,Bowler,102,Left,202,Tailender,305,Left,401,Slow Orthodox,511
90033,Abhishek Sharma,Bowler,102,Left,202,Tailender,305,Left,401,Slow Orthodox,511
90034,Aiden Blizzard,Batsmen,101,Left,202,Top Order,302,Left,401,Medium,503
90035,Adam Gilchrist,WK-Batsmen,104,Left,202,Opener,301,Right,402,Off Break,508
90036,Alfonso Thomas,Bowler,102,Right,201,Tailender,305,Right,402,Medium,503
90037,Adam Voges,Batsmen,101,Right,201,Top Order,302,Left,401,Slow Orthodox,511
90038,Alex Hales,Batsmen,101,Right,201,Opener,301,Right,402,Medium,503
90039,Dimitri Mascarenhas,Bowler,102,Right,201,Tailender,305,Right,402,Medium,503
90040,Angelo Mathews,All Rounder,103,Right,201,Finisher,304,Right,402,Medium,503
90041,Akshdeep Nath,Batsmen,101,Right,201,Middle Order,303,Right,402,Medium,503
90042,Andre Russell,All Rounder,103,Right,201,Finisher,304,Right,402,Fast,501
90043,Adam Milne,Bowler,102,Right,201,Tailender,305,Right,402,Fast,501
90044,Ali Murtaza,Bowler,102,Left,202,Tailender,305,Left,401,Slow Orthodox,511
90045,Amit Paunikar,WK-Batsmen,104,Right,201,Middle Order,303,Right,402,Medium,503
90046,Aaron Finch,Batsmen,101,Right,201,Opener,301,Left,401,Slow Orthodox,511
90047,Ashton Turner,Batsmen,101,Right,201,Middle Order,303,Right,402,Off Break,508
90048,Andrew Tye,Bowler,102,Right,201,Tailender,305,Right,402,Medium,503
90049,Aiden Markram,Batsmen,101,Right,201,Opener,301,Right,402,Off Break,508
90050,Akash Deep,Bowler,102,Right,201,Tailender,305,Right,402,Medium,503
90051,Akash Singh,Bowler,102,Right,201,Tailender,305,Left,401,Medium,503
90052,Ashok Menaria,All Rounder,103,Left,202,Finisher,304,Left,401,Slow Orthodox,511
90053,Abhishek Nayar,All Rounder,103,Left,202,Finisher,304,Right,402,Medium,503
90054,Ajinkya Rahane,Batsmen,101,Right,201,Top Order,302,Right,402,Medium,503
90055,Aavishkar Salvi,Bowler,102,Right,201,Tailender,305,Right,402,Medium,503
90056,Aman Hakim Khan,Bowler,102,Right,201,Tailender,305,Right,402,Off Break,508
90057,Abu Nechim Ahmed,Bowler,102,Right,201,Tailender,305,Right,402,Medium,503
90058,Arindam Ghosh,Batsmen,101,Right,201,Middle Order,303,Right,402,Medium,503
90059,Anand Rajan,Bowler,102,Right,201,Tailender,305,Right,402,Medium,503
90060,Anirudh Singh,Batsmen,101,Left,202,Middle Order,303,Right,402,Medium,503
90061,Ankit Sharma,Bowler,102,Left,202,Tailender,305,Left,401,Slow Orthodox,511
90062,Ankit Soni,All Rounder,103,Right,201,Finisher,304,Right,402,Leg Break,509
90063,Anmolpreet Singh,Batsmen,101,Right,201,Tailender,305,Right,402,Off Break,508
90064,Anuj Rawat,Batsmen,101,Left,202,Middle Order,303,Left,401,Slow,507
90065,Anureet Singh,Bowler,102,Right,201,Tailender,305,Right,402,Medium,503
90066,Aditya Dole,Bowler,102,Right,201,Tailender,305,Right,402,Medium,503
90067,Anustup Majumdar,Batsmen,101,Right,201,Middle Order,303,Right,402,Leg Break,509
90068,Aditya Tare,WK-Batsmen,104,Right,201,Middle Order,303,Right,402,Medium,503
90069,Ankit Bawne,Batsmen,101,Right,201,Middle Order,303,Right,402,Off Break,508
90070,Axar Patel,All Rounder,103,Left,202,Finisher,304,Left,401,Slow Orthodox,511
90071,Arshdeep Singh,Bowler,102,Left,202,Tailender,305,Left,401,Medium,503
90072,Alzarri Joseph,Bowler,102,Right,201,Tailender,305,Right,402,Medium,503
90073,Ankit Rajpoot,Bowler,102,Right,201,Tailender,305,Right,402,Medium,503
90074,Abhishek Raut,All Rounder,103,Right,201,Finisher,304,Right,402,Leg Break,509
90075,Anukul Roy,All Rounder,103,Left,202,Middle Order,303,Left,401,Slow Orthodox,511
90076,Arjun Yadav,Batsmen,101,Right,201,Middle Order,303,Right,402,Off Break,508
90077,Alex Carey,WK-Batsmen,104,Left,202,Middle Order,303,Left,401,Leg Break,509
90078,Ambati Rayudu,Batsmen,101,Right,201,Middle Order,303,Right,402,Off Break,508
90079,Adil Rashid,All Rounder,103,Right,201,Middle Order,303,Right,402,Medium,503
90080,Asad Pathan,Bowler,102,Right,201,Tailender,305,Right,402,Medium,503
90081,Avesh Khan,Bowler,102,Right,201,Tailender,305,Right,402,Medium,503
90082,Azhar Mahmood,All Rounder,103,Right,201,Finisher,304,Right,402,Medium,503
90083,Balachandra Akhil,Bowler,102,Right,201,Tailender,305,Right,402,Medium,503
90084,Bharat Chipli,Batsmen,101,Right,201,Top Order,302,Right,402,Medium,503
90085,Brett Geeves,Bowler,102,Right,201,Tailender,305,Right,402,Medium,503
90086,Baba Indrajith,Batsmen,101,Right,201,Middle Order,303,Right,402,Off Break,508
90087,Bhuvneshwar Kumar,Bowler,102,Right,201,Tailender,305,Right,402,Medium,503
90088,Ben Laughlin,Bowler,102,Right,201,Tailender,305,Right,402,Medium,503
90089,Brett Lee,Bowler,102,Right,201,Tailender,305,Right,402,Fast,501
90090,B Sai Sudharshan,Batsmen,101,Left,202,Middle Order,303,Right,402,Leg Break,509
90091,Billy Stanlake,Bowler,102,Right,201,Tailender,305,Right,402,Fast,501
90092,Bodapati Sumanth,Batsmen,101,Right,201,Middle Order,303,Right,402,Medium,503
90093,Bhargav Bhatt,Bowler,102,Left,202,Tailender,305,Left,401,Slow Orthodox,511
90094,Ben Stokes,All Rounder,103,Left,202,Finisher,304,Right,402,Medium,503
90095,Basil Thampi,Bowler,102,Right,201,Tailender,305,Right,402,Medium,503
90096,Ajantha Mendis,Bowler,102,Right,201,Tailender,305,Right,402,Off Break,508
90097,Brendon McCullum,WK-Batsmen,104,Right,201,Opener,301,Right,402,Medium,503
90098,Biplab Samantray,Batsmen,101,Right,201,Middle Order,303,Right,402,Slow,507
90099,Barinder Sran,Bowler,102,Left,202,Tailender,305,Left,401,Medium,503
90100,Ben Cutting,Bowler,102,Right,201,Tailender,305,Right,402,Medium,503
90101,Beuran Hendricks,Bowler,102,Left,202,Tailender,305,Left,401,Medium,503
90102,Bipul Sharma,All Rounder,103,Left,202,Finisher,304,Left,401,Slow Orthodox,511
90103,Brad Haddin,WK-Batsmen,104,Right,201,Top Order,302,Right,402,Slow,507
90104,Brad Hodge,Batsmen,101,Right,201,Top Order,302,Right,402,Off Break,508
90105,Ben Rohrer,Batsmen,101,Left,202,Middle Order,303,Left,401,Slow,507
90106,Jeevan Mendis,All Rounder,103,Left,202,Finisher,304,Right,402,Leg Break,509
90107,Ben Dunk,WK-Batsmen,104,Left,202,Top Order,302,Left,401,Slow,507
90108,Ben Hilfenhaus,Bowler,102,Right,201,Tailender,305,Right,402,Medium,503
90109,Colin de Grandhomme,All Rounder,103,Right,201,Finisher,304,Right,402,Medium,503
90110,Chandrasekar Ganapathy,Bowler,102,Right,201,Tailender,305,Right,402,Medium,503
90111,Chandan Madan,WK-Batsmen,104,Right,201,Middle Order,303,Right,402,Slow,507
90112,Colin Munro,Bowler,102,Left,202,Tailender,305,Right,402,Medium,503
90113,Chentanya Nanda,Bowler,102,Right,201,Tailender,305,Right,402,Medium,503
90114,Chetan Sakariya,Bowler,102,Left,202,Tailender,305,Left,401,Medium,503
90115,Colin Ingram,Batsmen,101,Left,202,Top Order,302,Left,401,Slow,507
90116,Chris Lynn,Batsmen,101,Right,201,Top Order,302,Left,401,Slow Orthodox,511
90117,Cheteshwar Pujara,Batsmen,101,Right,201,Top Order,302,Right,402,Leg Break,509
90118,Chris Gayle,All Rounder,103,Left,202,Opener,301,Right,402,Off Break,508
90119,Chris Morris,All Rounder,103,Right,201,Finisher,304,Right,402,Medium,503
90120,Corey Anderson,All Rounder,103,Left,202,Finisher,304,Left,401,Medium,503
90121,Junior Dala,Bowler,102,Right,201,Tailender,305,Right,402,Medium,503
90122,Callum Ferguson,Batsmen,101,Right,201,Middle Order,303,Right,402,Medium,503
90123,Chris Green,Batsmen,101,Right,201,Middle Order,303,Right,402,Off Break,508
90124,Chris Jordan,Bowler,102,Right,201,Tailender,305,Right,402,Medium,503
90125,Clint McKay,Bowler,102,Right,201,Tailender,305,Right,402,Medium,503
90126,Chamara Kapugedera,Batsmen,101,Right,201,Middle Order,303,Right,402,Medium,503
90127,Charl Langeveldt,Bowler,102,Right,201,Tailender,305,Right,402,Medium,503
90128,Cameron White,All Rounder,103,Right,201,Middle Order,303,Right,402,Leg Break,509
90129,CM Gautam,WK-Batsmen,104,Right,201,Middle Order,303,Right,402,Slow,507
90130,Carlos Brathwaite,All Rounder,103,Right,201,Finisher,304,Right,402,Medium,503
90131,Chris Woakes,Bowler,102,Right,201,Tailender,305,Right,402,Medium,503
90132,Dilhara Fernando,Bowler,102,Right,201,Tailender,305,Right,402,Medium,503
90133,Varun Chakravarthy,Bowler,102,Right,201,Tailender,305,Right,402,Leg Break,509
90134,D Brevis,All Rounder,103,Right,201,Middle Order,303,Right,402,Medium,503
90135,Dillon du Preez,All Rounder,103,Right,201,Middle Order,303,Right,402,Medium,503
90136,Doddapaneni Kalyankrishna,Bowler,102,Right,201,Tailender,305,Right,402,Medium,503
90137,Devdutt Padikkal,Batsmen,101,Left,202,Opener,301,Right,402,Off Break,508
90138,D Pretorius,All Rounder,103,Right,201,Middle Order,303,Right,402,Medium,503
90139,Dinesh Salunkhe,Bowler,102,Right,201,Tailender,305,Right,402,Leg Break,509
90140,David Wiese,Bowler,102,Right,201,Tailender,305,Right,402,Medium,503
90141,David Miller,Batsmen,101,Left,202,Middle Order,303,Right,402,Off Break,508
90142,David Warner,Batsmen,101,Left,202,Opener,301,Right,402,Leg Break,509
90143,Doug Bracewell,Bowler,102,Right,201,Tailender,305,Right,402,Medium,503
90144,Debabrata Das,Batsmen,101,Right,201,Middle Order,303,Right,402,Leg Break,509
90145,Dwaraka Ravi Teja,Batsmen,101,Right,201,Middle Order,303,Right,402,Leg Break,509
90146,Doug Bollinger,Bowler,102,Left,202,Tailender,305,Left,401,Medium,503
90147,Darshan Nalkande,Bowler,102,Right,201,Tailender,305,Right,402,Medium,503
90148,Dishant Yagnik,WK-Batsmen,104,Left,202,Middle Order,303,Left,401,Slow,507
90149,Dwayne Bravo,All Rounder,103,Right,201,Finisher,304,Right,402,Medium,503
90150,Daniel Harris,Bowler,102,Right,201,Tailender,305,Right,402,Medium,503
90151,Deepak Hooda,All Rounder,103,Right,201,Middle Order,303,Right,402,Off Break,508
90152,David Hussey,All Rounder,103,Right,201,Top Order,302,Right,402,Off Break,508
90153,Davy Jacobs,WK-Batsmen,104,Right,201,Middle Order,303,Right,402,Medium,503
90154,Dawid Malan,Batsmen,101,Left,202,Opener,301,Right,402,Leg Break,509
90155,Daryl Mitchell,All Rounder,103,Right,201,Middle Order,303,Right,402,Medium,503
90156,Domnic Muthuswami,Bowler,102,Right,201,Finisher,304,Right,402,Medium,503
90157,Dominic John Thornely,Batsmen,101,Right,201,Opener,301,Right,402,Medium,503
