Player,PID,Nationality,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aakash Chopra,90004,80006,50004,50004,0,50001,50001,0,0,0,0,0,0,0,0,0,0
Aamir Kaleem,90653,80012,0,0,0,0,0,0,0,0,50009,0,0,0,0,0,0
Aaron Finch,90046,80002,0,0,50001,50008,50008,50014,50006,50005,50012,50012,50009,0,50010,0,0
Aaron Phangiso,90654,80016,0,0,0,0,0,0,0,0,50005,0,0,0,0,0,0
Aavishkar Salvi,90055,80006,0,50008,50008,50008,50008,50008,0,0,0,0,0,0,0,0,0
AB de Villiers,90028,80016,50008,50008,50008,50010,50010,50010,50010,50010,50010,50010,50010,50010,50010,50010,0
Abdul Samad,90031,80006,0,0,0,0,0,0,0,0,0,0,0,0,50006,50006,50006
Abdulahad Malek,90655,80006,0,50001,0,0,0,0,0,0,0,0,0,0,0,0,0
Abdur Razzak,90032,80003,50010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abhimanyu Easwaran,90656,80006,0,0,0,0,0,0,0,0,0,0,0,0,0,50005,50004
Abhimanyu Mithun,90011,80006,0,50010,50010,50010,50010,50010,0,50005,50006,50006,0,0,50008,0,0
Abhinav Kumar,90657,80006,0,50002,0,0,0,0,0,0,0,0,0,0,0,0,0
Abhinav Mukund,90012,80006,50003,50003,50003,50003,50003,50010,0,0,0,0,0,0,0,0,0
Abhinav Sadarangani,90658,80006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50007
Abhishek Jhunjhunwala,90023,80006,0,0,50001,50014,50002,50008,50008,0,0,0,0,0,0,0,0
Abhishek Nayar,90053,80006,50005,50005,50005,50009,50009,50014,50001,50001,0,0,0,0,0,0,0
Abhishek Raut,90074,80006,50001,50001,50001,50001,50001,50001,0,0,0,0,0,0,0,0,0
Abhishek Sharma,90033,80006,0,0,0,0,0,0,0,0,0,0,50008,50006,50006,50006,50006
Abrar Kazi,90024,80006,0,0,0,50010,0,0,0,0,0,0,0,0,0,0,0
Abu Nechim Ahmed,90057,80006,0,50005,50005,50005,50005,50005,50010,50010,50010,0,0,0,0,0,0
Adam Gilchrist,90035,80002,50002,50002,50002,50009,50009,50009,0,0,0,0,0,0,0,0,0
Adam Milne,90043,80011,0,0,0,0,0,0,0,50010,50010,50010,50005,50005,0,50005,50003
Adam Voges,90037,80002,0,0,50001,0,0,0,0,0,0,0,0,0,0,0,0
Adam Zampa,90020,80002,0,0,0,0,0,0,0,0,50015,50015,0,0,50010,50010,0
Aditya Angle,90659,80006,50001,50001,0,0,0,0,0,0,0,0,0,0,0,0,0
Aditya Dole,90066,80006,0,50001,50001,50001,50001,50001,0,0,0,0,0,0,0,0,0
Aditya Garhwal,90660,80006,0,0,0,0,0,0,0,50004,0,0,0,0,0,0,0
Aditya Tare,90068,80006,0,0,50005,50005,50005,50005,50005,50005,50006,50008,50005,50005,50005,50005,0
Adrian Barath,90027,80020,0,0,50009,0,0,0,0,0,0,0,0,0,0,0,0
