Match_ID,T1P1,T1P2,T1P3,T1P4,T1P5,T1P6,T1P7,T1P8,T1P9,T1P10,T1P11,T2P1,T2P2,T2P3,T2P4,T2P5,T2P6,T2P7,T2P8,T2P9,T2P10,T2P11,T1P1_ID,T1P2_ID,T1P3_ID,T1P4_ID,T1P5_ID,T1P6_ID,T1P7_ID,T1P8_ID,T1P9_ID,T1P10_ID,T1P11_ID,T2P1_ID,T2P2_ID,T2P3_ID,T2P4_ID,T2P5_ID,T2P6_ID,T2P7_ID,T2P8_ID,T2P9_ID,T2P10_ID,T2P11_ID
1312200,YBK Jaiswal,JC Buttler,SV Samson,D Padikkal,SO Hetmyer,R Ashwin,R Parag,TA Boult,OC McCoy,M Prasidh Krishna,YS Chahal,WP Saha,Shubman Gill,MS Wade,HH Pandya,DA Miller,R Tewatia,Rashid Khan,R Sai Kishore,LH Ferguson,Yash Dayal,Mohammed Shami,90646,90237,90582,90137,90561,90440,90447,90594,90403,90330,90649,90636,90546,90380,90211,90141,90456,90463,90450,90310,90644,90371
1312199,V Kohli,F du Plessis,RM Patidar,GJ Maxwell,MK Lomror,KD Karthik,Shahbaz Ahmed,PWH de Silva,HV Patel,JR Hazlewood,Mohammed Siraj,YBK Jaiswal,JC Buttler,SV Samson,D Padikkal,SO Hetmyer,R Parag,R Ashwin,TA Boult,YS Chahal,M Prasidh Krishna,OC McCoy,90617,90182,90477,90197,90358,90281,90537,90438,90214,90259,90372,90646,90237,90582,90137,90561,90447,90440,90594,90649,90330,90403
1312198,V Kohli,F du Plessis,RM Patidar,GJ Maxwell,MK Lomror,KD Karthik,Shahbaz Ahmed,HV Patel,PWH de Silva,JR Hazlewood,Mohammed Siraj,Q de Kock,KL Rahul,M Vohra,DJ Hooda,MP Stoinis,E Lewis,KH Pandya,PVD Chameera,Mohsin Khan,Avesh Khan,Ravi Bishnoi,90617,90182,90477,90197,90358,90281,90537,90214,90438,90259,90372,90439,90288,90335,90151,90375,90178,90282,90437,90373,90081,90465
1312197,YBK Jaiswal,JC Buttler,SV Samson,D Padikkal,SO Hetmyer,R Parag,R Ashwin,TA Boult,YS Chahal,M Prasidh Krishna,OC McCoy,WP Saha,Shubman Gill,MS Wade,HH Pandya,DA Miller,R Tewatia,Rashid Khan,R Sai Kishore,AS Joseph,Yash Dayal,Mohammed Shami,90646,90237,90582,90137,90561,90447,90440,90594,90649,90330,90403,90636,90546,90380,90211,90141,90456,90463,90450,90072,90644,90371
1304116,PK Garg,Abhishek Sharma,RA Tripathi,AK Markram,N Pooran,Washington Sundar,R Shepherd,J Suchith,B Kumar,Umran Malik,Fazalhaq Farooqi,JM Bairstow,S Dhawan,M Shahrukh Khan,MA Agarwal,LS Livingstone,JM Sharma,PN Mankad,Harpreet Brar,K Rabada,NT Ellis,Arshdeep Singh,90428,90033,90461,90049,90386,90634,90454,90228,90087,90614,90184,90250,90501,90332,90336,90317,90252,90430,90205,90267,90399,90071
1304115,PP Shaw,DA Warner,MR Marsh,RR Pant,SN Khan,R Powell,AR Patel,SN Thakur,Kuldeep Yadav,A Nortje,KK Ahmed,Ishan Kishan,RG Sharma,D Brevis,Tilak Varma,TH David,Ramandeep Singh,DR Sams,HR Shokeen,JJ Bumrah,M Markande,RP Meredith,90433,90142,90376,90483,90559,90448,90070,90560,90299,90015,90284,90225,90471,90134,90599,90598,90462,90170,90213,90245,90325,90479
1304114,RD Gaikwad,DP Conway,MM Ali,N Jagadeesan,AT Rayudu,MS Dhoni,MJ Santner,Simarjeet Singh,Mukesh Choudhary,PH Solanki,M Pathirana,YBK Jaiswal,JC Buttler,SV Samson,D Padikkal,R Ashwin,SO Hetmyer,R Parag,TA Boult,YS Chahal,M Prasidh Krishna,OC McCoy,90467,90165,90362,90385,90078,90378,90357,90547,90382,90425,90329,90646,90237,90582,90137,90440,90561,90447,90594,90649,90330,90403
1304113,WP Saha,Shubman Gill,MS Wade,HH Pandya,DA Miller,R Tewatia,Rashid Khan,R Sai Kishore,LH Ferguson,Yash Dayal,Mohammed Shami,V Kohli,F du Plessis,GJ Maxwell,KD Karthik,RM Patidar,MK Lomror,Shahbaz Ahmed,HV Patel,PWH de Silva,JR Hazlewood,S Kaul,90636,90546,90380,90211,90141,90456,90463,90450,90310,90644,90371,90617,90182,90197,90281,90477,90358,90537,90214,90438,90259,90504
1304112,Q de Kock,KL Rahul,E Lewis,DJ Hooda,M Vohra,MP Stoinis,JO Holder,K Gowtham,Mohsin Khan,Avesh Khan,Ravi Bishnoi,VR Iyer,A Tomar,N Rana,SS Iyer,SW Billings,AD Russell,RK Singh,SP Narine,UT Yadav,TG Southee,CV Chakravarthy,90439,90288,90178,90151,90335,90375,90253,90264,90373,90081,90465,90626,90018,90387,90572,90583,90042,90476,90566,90616,90597,90133
1304111,Abhishek Sharma,PK Garg,RA Tripathi,N Pooran,AK Markram,KS Williamson,Washington Sundar,B Kumar,Umran Malik,T Natarajan,Fazalhaq Farooqi,RG Sharma,Ishan Kishan,DR Sams,Tilak Varma,TH David,T Stubbs,Ramandeep Singh,R Sanjay Yadav,JJ Bumrah,M Markande,RP Meredith,90033,90428,90461,90386,90049,90298,90634,90087,90614,90589,90184,90471,90225,90170,90599,90598,90591,90462,90451,90245,90325,90479
