SID,Year,Winner,Winner_ID,Runners,Runners_ID,Third _Position,Third _Position_ID,Fourth_Position,Fourth_Position_ID,Fifth_Position,Fifth_Position_ID,Sixth_Position,Sixth_Position_ID,Seventh_Position,Seventh_Position_ID,Eighth_Position,Eighth_Position_ID,Nineth_Position,Nineth_Position_ID,Tenth_Position ,Tenth_Position_ID,Start_date,End_date,MOS,MOS_ID,Orange_cap,Orange_cap_ID,Purple_cap,Purple_cap_ID
30001,2008,Rajasthan Royals,50001,Chennai Super Kings,50003,Punjab Kings,50009,Delhi Capitals,50008,Mumbai Indians,50005,Kolkata Knight Riders,50004,Royal Challengers Bangalore,50010,Deccan Chargers,50002,NULL,NULL,NULL,NULL,4/18/2008,6/1/2008,Shane Watson,90569,Shaun Marsh,90535,Sohail Tanvir,90562
30002,2009,Deccan Chargers,50002,Royal Challengers Bangalore,50010,Delhi Capitals,50008,Chennai Super Kings,50003,Punjab Kings,50009,Rajasthan Royals,50001,Mumbai Indians,50005,Kolkata Knight Riders,50004,NULL,NULL,NULL,NULL,4/18/2009,5/24/2009,Adam Gilchrist,90035,Matthew Hayden,90361,R. P. Singh,90480
30003,2010,Chennai Super Kings,50003,Mumbai Indians,50005,Royal Challengers Bangalore,50010,Deccan Chargers,50002,Delhi Capitals,50008,Kolkata Knight Riders,50004,Rajasthan Royals,50001,Punjab Kings,50009,NULL,NULL,NULL,NULL,3/12/2010,4/25/2010,Sachin Tendulkar,90568,Sachin Tendulkar,90568,Pragyan Ojha,90432
30004,2011,Chennai Super Kings,50003,Royal Challengers Bangalore,50010,Mumbai Indians,50005,Kolkata Knight Riders,50004,Punjab Kings,50009,Rajasthan Royals,50001,Deccan Chargers,50002,Kochi Tuskers Kerela,50013,Pune Warriors India,50014,Delhi Capitals,50008,4/8/2011,5/28/2011,Chris Gayle,90118,Chris Gayle,90118,Lasith Malinga,90552
30005,2012,Kolkata Knight Riders,50004,Chennai Super Kings,50003,Delhi Capitals,50008,Mumbai Indians,50005,Royal Challengers Bangalore,50010,Punjab Kings,50009,Rajasthan Royals,50001,Deccan Chargers,50002,Pune Warriors India,50014,NULL,NULL,4/4/2012,5/27/2012,Sunil Narine,90566,Chris Gayle,90118,Morne Morkel,90326
30006,2013,Mumbai Indians,50005,Chennai Super Kings,50003,Rajasthan Royals,50001,Sunrisers Hyderabad,50006,Royal Challengers Bangalore,50010,Punjab Kings,50009,Kolkata Knight Riders,50004,Pune Warriors India,50014,Delhi Capitals,50008,Delhi Capitals,50008,4/3/2013,5/26/2013,Shane Watson,90569,Mike Hussey,90347,Dwayne Bravo,90149
30007,2014,Kolkata Knight Riders,50004,Punjab Kings,50009,Chennai Super Kings,50003,Mumbai Indians,50005,Rajasthan Royals,50001,Sunrisers Hyderabad,50006,Royal Challengers Bangalore,50010,Delhi Capitals,50008,NULL,NULL,NULL,NULL,4/16/2014,6/1/2014,Glenn Maxwell,90197,Robin Uthappa,90494,Mohit Sharma,90364
30008,2015,Mumbai Indians,50005,Chennai Super Kings,50003,Royal Challengers Bangalore,50010,Rajasthan Royals,50001,Kolkata Knight Riders,50004,Sunrisers Hyderabad,50006,Delhi Capitals,50008,Punjab Kings,50009,NULL,NULL,NULL,NULL,4/8/2015,5/24/2015,Andre Russell,90042,David Warner,90142,Dwayne Bravo,90149
30009,2016,Sunrisers Hyderabad,50006,Royal Challengers Bangalore,50010,Gujarat Lions,50012,Kolkata Knight Riders,50004,Mumbai Indians,50005,Delhi Capitals,50008,Rising Pune Supergiants,50015,Punjab Kings,50009,NULL,NULL,NULL,NULL,4/9/2016,5/29/2016,Virat Kohli,90617,Virat Kohli,90617,Bhuvneshwar Kumar,90087
30010,2017,Mumbai Indians,50005,Rising Pune Supergiants,50015,Kolkata Knight Riders,50004,Sunrisers Hyderabad,50006,Punjab Kings,50009,Delhi Capitals,50008,Gujarat Lions,50012,Royal Challengers Bangalore,50010,NULL,NULL,NULL,NULL,4/2/2017,5/21/2017,Ben Stokes,90094,David Warner,90142,Bhuvneshwar Kumar,90087
30011,2018,Chennai Super Kings,50003,Sunrisers Hyderabad,50006,Kolkata Knight Riders,50004,Rajasthan Royals,50001,Mumbai Indians,50005,Royal Challengers Bangalore,50010,Punjab Kings,50009,Delhi Capitals,50008,NULL,NULL,NULL,NULL,4/7/2018,5/27/2018,Sunil Narine,90566,Kane Williamson,90298,Andrew Tye,90048
30012,2019,Mumbai Indians,50005,Chennai Super Kings,50003,Delhi Capitals,50008,Sunrisers Hyderabad,50006,Kolkata Knight Riders,50004,Punjab Kings,50009,Rajasthan Royals,50001,Royal Challengers Bangalore,50010,NULL,NULL,NULL,NULL,3/23/2019,5/12/2019,Andre Russell,90042,David Warner,90142,Imran Tahir,90221
30013,2020,Mumbai Indians,50005,Delhi Capitals,50008,Sunrisers Hyderabad,50006,Royal Challengers Bangalore,50010,Kolkata Knight Riders,50004,Punjab Kings,50009,Chennai Super Kings,50003,Rajasthan Royals,50001,NULL,NULL,NULL,NULL,9/19/2020,11/10/2020,Jofra Archer,90236,KL Rahul,90288,Kagiso Rabada,90267
30014,2021,Chennai Super Kings,50003,Kolkata Knight Riders,50004,Delhi Capitals,50008,Royal Challengers Bangalore,50010,Mumbai Indians,50005,Punjab Kings,50009,Rajasthan Royals,50001,Sunrisers Hyderabad,50006,NULL,NULL,NULL,NULL,4/9/2021,5/2/2021,Harshal Patel,90214,Ruturaj Gaikwad,90467,Harshal Patel,90214
30015,2022,Gujarat Titans,50007,Rajasthan Royals,50001,Royal Challengers Bangalore,50010,Lucknow Super Giants,50011,Delhi Capitals,50008,Punjab Kings,50009,Kolkata Knight Riders,50004,Sunrisers Hyderabad,50006,Chennai Super Kings,50003,Mumbai Indians,50005,3/26/2022,5/29/2022,Jos Buttler,90237,Jos Buttler,90237,Yuzvendra Chahal,90649
