PID,Player_Name,No_of_seasons_played,Innings_played,Balls_Faced,Runs_Scored,Batting_Average,Batting_SR,No_Half_Centuries,No_Centuries,NO_Ducks,Highest_Score,No_of_Fours,No_of_Sixes,Balls_Bowled,Runs_Given,Wickets_taken,Bowling_Average,Bowling_Economy,Bowling_SR,No_3W_Haul,No_5W_Haul,No_Dissmisals,no_not_outs,Innings_bowled
90001,Ashish Reddy,8,23,193,280,18.67,145.08,0,0,0,36,16,15,262,400,18,22.22,9.16,14.56,1,0,15,8,20
90002,Ayush Badoni,3,11,130,161,20.13,123.85,1,0,1,54,11,7,12,12,2,6,6,6,0,0,8,3,2
90003,Ajit Chandila,3,2,7,4,4,57.14,0,0,1,4,0,0,234,245,11,22.27,6.28,21.27,1,0,0,2,12
90004,Aakash Chopra,4,6,71,53,10.6,74.65,0,0,0,24,7,0,0,0,0,0,0,0,0,0,5,1,0
90005,Aniket Choudhary,3,3,20,25,25,125,0,0,0,15,1,1,101,144,5,28.8,8.55,20.2,0,0,1,2,5
90006,Akila Dananjaya,2,1,5,4,4,80,0,0,0,4,0,0,24,47,0,47,11.75,24,0,0,0,1,1
90007,Andrew Flintoff,1,3,53,62,31,116.98,0,0,0,24,5,2,66,106,2,53,9.64,33,0,0,2,1,3
90008,Anil Kumble,3,15,47,35,17.5,74.47,0,0,1,8,3,0,965,1089,45,24.2,6.77,21.44,4,1,2,13,42
90009,Abhinav Manohar,0,7,75,108,18,144,0,0,1,43,14,3,0,0,0,0,0,0,0,0,6,1,0
90010,Amit Mishra,16,54,387,362,13.41,93.54,0,0,8,31,29,5,3245,4022,166,24.23,7.44,19.55,16,1,27,27,154
90011,Abhimanyu Mithun,9,6,26,34,6.8,130.77,0,0,1,11,4,1,288,477,7,68.14,9.94,41.14,0,0,5,1,16
90012,Abhinav Mukund,6,2,22,19,9.5,86.36,0,0,1,19,1,0,0,0,0,0,0,0,0,0,2,0,0
90013,Ashish Nehra,10,17,60,41,6.83,68.33,0,0,7,22,3,1,1908,2537,106,23.93,7.98,18,14,0,6,11,88
90014,André Nel,1,0,0,0,0,0,0,0,0,0,0,0,18,31,1,31,10.33,18,0,0,0,0,1
90015,Anrich Nortje,4,4,12,8,8,66.67,0,0,0,3,0,0,682,946,43,22,8.32,15.86,3,0,1,3,30
90016,Anureet Singh,6,5,9,2,0.5,22.22,0,0,3,1,0,0,473,639,28,22.82,8.11,16.89,3,0,4,1,23
90017,Andrew Symonds,4,36,745,974,40.58,130.74,6,1,0,117,74,41,527,694,20,34.7,7.9,26.35,1,0,24,12,30
90018,Avijeet Tomar,1,1,8,4,4,50,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0
90019,Amit Uniyal,4,2,7,4,4,57.14,0,0,1,4,0,0,36,67,2,33.5,11.17,18,0,0,1,1,2
90020,Adam Zampa,4,2,8,5,2.5,62.5,0,0,1,5,1,0,287,373,21,17.76,7.8,13.67,1,1,2,0,14
90021,Azhar Bilakhia,2,7,84,69,13.8,82.14,0,0,0,22,5,0,0,0,0,0,0,0,0,0,5,2,0
90022,Ankeet Chavan,4,3,11,12,12,109.09,0,0,0,7,2,0,248,339,8,42.38,8.2,31,0,0,1,2,13
90023,Abhishek Jhunjhunwala,5,15,209,217,18.08,103.83,1,0,1,53,19,5,85,130,1,130,9.18,85,0,0,12,3,10
90024,Abrar Kazi,1,0,0,0,0,0,0,0,0,0,0,0,12,21,0,21,10.5,12,0,0,0,0,1
90025,Ashley Noffke,1,1,10,9,9,90,0,0,0,9,1,0,24,41,1,41,10.25,24,0,0,1,0,1
90026,Ajit Agarkar,6,18,151,179,22.38,118.54,0,0,0,39,13,5,782,1174,29,40.48,9.01,26.97,1,0,8,10,42
90027,Adrian Barath,1,3,42,42,21,100,0,0,0,33,5,1,0,0,0,0,0,0,0,0,2,1,0
90028,AB de Villiers,14,170,3400,5181,42.47,152.38,44,3,10,133,414,253,0,0,0,0,0,0,0,0,122,48,0
90029,Ashok Dinda,10,16,48,26,2.89,54.17,0,0,6,7,2,0,1516,2103,69,30.48,8.32,21.97,5,0,9,7,75
90030,Andrew McDonald,5,9,100,123,24.6,123,0,0,1,33,9,4,186,263,11,23.91,8.48,16.91,0,0,5,4,10
90031,Abdul Samad,3,19,161,228,14.25,141.61,0,0,2,33,12,14,54,113,2,56.5,12.56,27,0,0,16,3,5
90032,Abdur Razzak,1,1,2,0,0,0,0,0,1,0,0,0,12,29,0,29,14.5,12,0,0,0,1,1
90033,Abhishek Sharma,5,34,492,667,23.82,135.57,2,0,1,75,64,25,156,218,7,31.14,8.38,22.29,0,0,28,6,17
90034,Aiden Blizzard,4,7,90,120,17.14,133.33,1,0,1,51,21,2,0,0,0,0,0,0,0,0,7,0,0
90035,Adam Gilchrist,6,80,1483,2069,27.59,139.51,13,2,7,109,239,92,1,0,1,0,0,1,0,0,75,5,1
90036,Alfonso Thomas,2,4,19,20,10,105.26,0,0,1,12,1,1,315,416,14,29.71,7.92,22.5,1,0,2,2,15
90037,Adam Voges,1,7,143,181,45.25,126.57,0,0,0,45,15,3,54,76,0,76,8.44,54,0,0,4,3,7
90038,Alex Hales,5,6,117,148,24.67,126.5,0,0,0,45,13,6,0,0,0,0,0,0,0,0,6,0,0
